taskId,taskName,score,performanceClass,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
171,strafetrack,35761,TrackData,2024-04-10T10:22:06,36,142.377609,856.0003,255.328659,1568.00171,3846,9,MK
172,switchtrack,40149,TrackData,2024-04-10T10:23:21,23,105.546227,327.999878,373.512573,1408.00146,2400,9,MK
173,gridshot,37735,SparData,2024-04-10T10:24:32,91.2408752,473.2093464,128,137,2.08659077,125,9,MK
174,microshot,32549,SparData,2024-04-10T10:25:39,95.87629,621.1489218,96,97,1.552474,93,9,MK
175,microshot,17923,SparData,2024-04-10T10:26:51,92.1875,926.8288531,64,64,0.9848638,59,9,CW
176,gridshot,17752,SparData,2024-04-10T10:28:14,95.77465,872.4062994,71,71,1.135094,68,9,CW
177,strafetrack,18875,TrackData,2024-04-10T10:29:23,24,117.793106,383.9998,372.827545,1480.00159,4541,9,CW
178,switchtrack,20661,TrackData,2024-04-10T10:30:36,15.000001,101.925934,287.999969,607.506,4807.967,2114,9,CW
179,gridshot,16091,SparData,2024-04-10T10:32:11,82.5,900.1002285,69,80,1.10173643,66,9,CWO
180,switchtrack,18658,TrackData,2024-04-10T10:33:22,14,105.888893,256,693.4797,2327.99829,3306,9,CWO
181,microshot,19557,SparData,2024-04-10T10:34:38,84.41559,862.0123753,68,77,1.08499169,65,9,CWO
182,strafetrack,19927,TrackData,2024-04-10T10:35:46,25,128.581818,712,391.709076,1784.0022,4183,9,CWO
183,gridshot,49268,SparData,2024-04-10T10:37:00,89.26553,374.4799971,161,177,2.63738441,158,10,MK
184,strafetrack,47403,TrackData,2024-04-10T10:38:08,43,166.904083,936.0005,222.849289,744.000061,3387,10,MK
185,switchtrack,61183,TrackData,2024-04-10T10:39:17,29,131.047638,232.000031,323.618958,840.000244,1612,10,MK
186,microshot,50755,SparData,2024-04-10T10:40:29,92.46575,441.7671962,136,146,2.25358939,135,10,MK
187,gridshot,30325,SparData,2024-04-10T10:41:40,86.99187,553.6977023,110,123,1.78610551,107,10,CWO
188,switchtrack,32309,TrackData,2024-04-10T10:42:52,20,102.943405,232.000031,430.868,1888.00244,2110,10,CWO
189,strafetrack,28457,TrackData,2024-04-10T10:44:01,31,144.866653,864.0003,328.2644,1384.00134,3776,10,CWO
190,microshot,20473,SparData,2024-04-10T10:45:12,74.46808,782.9719405,76,94,1.16850841,70,10,CWO
191,gridshot,28592,SparData,2024-04-10T10:46:48,78.10219,554.602254,110,137,1.7861315,107,10,CW
192,switchtrack,36792,TrackData,2024-04-10T10:48:03,21,106.214294,232.000031,404.857178,1624.00183,2698,10,CW
193,microshot,26488,SparData,2024-04-10T10:49:16,85.41667,693.4246695,86,96,1.36877334,82,10,CW
194,strafetrack,34316,TrackData,2024-04-10T10:50:24,35,170.393143,1008.00061,316.677948,1240.0011,3278,10,CW
